id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,daerah,lon,lat
HO634F36823FCE4ID,house,445000000,2,1,,45,75,Perum PERMATA INTAN REGENCY Siap huni Dekat Pusat Kota & Pol PRIMAJASA,https://www.lamudi.co.id/perum-permata-intan-regency-siap-huni-dekat-pusat-166613568211.html,Tasikmalaya,108.21369,-7.31444
CO635110E874C84ID,commercial-1,6250000000,,,,550,501,Dijual Gedung Semi Furnished di Singaparna Tasikmalaya,https://www.lamudi.co.id/dijual-gedung-semi-furnished-di-singaparna-tasikma-166625712823.html,Tasikmalaya,108.12071,-7.34791
HO63536A016FE11ID,house,990000000,6,3,1,140,156,Rumah Kosan 2 Lantai Dekat Universitas Siliwangi,https://www.lamudi.co.id/rumah-kosan-2-lantai-dekat-universitas-siliwangi-166641100986.html,Tasikmalaya,108.22754225248,-7.3490977374589
LA6350C2A8070ABID,land,175000000,,,,,2500,RUMAH ASETKU – KARANGNUNGGAL (Tanah Kosong) KABUPATEN TASIKMALAYA,https://www.lamudi.co.id/rumah-asetku-karangnunggal-tanah-kosong-kabupaten-166623709693.html,Tasikmalaya,108.1341,-7.6278
HO632293F14BA88ID,house,208800000,2,1,1,72,100,Rumah Kayu Knockdown Dengan Berbagai Jenis Dan Desain Free Ongkir,https://www.lamudi.co.id/rumah-kayu-knockdown-dengan-berbagai-jenis-dan-des-166321048150.html,Tasikmalaya,108.1843756,-7.1580651
LA6385652A8A873ID,land,487000000,,,,,127,Rumah nyaman tanah 127m perum di cikarang tawang tasikmalaya,https://www.lamudi.co.id/rumah-nyaman-tanah-127m-perum-di-cikarang-tawang-t-16696865709.html,Tasikmalaya,108.23174,-7.3348
LA632E8954586BFID,land,5200000000,,,,,25000,"DIJUAL CEPAT TANAH AREA TASIKMALAYA LUAS 25.000M2 9,5 M JADI 5,2 M",https://www.lamudi.co.id/dijual-cepat-tanah-area-tasikmalaya-luas-25-000m2-166399419653.html,Tasikmalaya,108.33778411692,-7.3638969985426
HO6333C41A6C770ID,house,500000000,4,2,,180,350,Dijual Tanah dan Bangunan di Tanjungjaya Tasikmalaya,https://www.lamudi.co.id/dijual-tanah-dan-bangunan-di-tanjungjaya-tasikmala-16643369228.html,Tasikmalaya,108.188,-7.1366
HO63576DD5E0530ID,house,350000000,2,1,1,110,980,Rumah Desa Tasikmalaya LT 980m² SHM dijual cepat kondisi terawat rapi,https://www.lamudi.co.id/rumah-desa-tasikmalaya-lt-980m-shm-dijual-cepat-ko-166667413340.html,Tasikmalaya,108.0292,-7.48657
HO63576F1CAFE5DID,house,350000000,2,1,1,110,980,Jual rumah bekas tasikmalaya LT 980m² SHM Kondisi Terawat Rapi,https://www.lamudi.co.id/jual-rumah-bekas-tasikmalaya-lt-980m-shm-kondisi-t-166667446053.html,Tasikmalaya,108.25943,-7.35443
HO6219FC2AAD90FID,house,381000000,2,1,,30,80,Rumah Murah View kota bandung dijatihandap,https://www.lamudi.co.id/rumah-murah-view-kota-bandung-dijatihandap.html,Tasikmalaya,108.2185893598,-7.5587962089584
HO632D1564497EEID,house,208800000,2,1,1,72,100,Dijual Rumah Kayu Meranti 2 Lantai Dengan Berbagai Jenis Dan Desain,https://www.lamudi.co.id/dijual-rumah-kayu-meranti-2-lantai-dengan-berbagai-166389898028.html,Tasikmalaya,108.361088,-7.344088
HO600A0F1B7CFE6ID,house,750000000,2,1,1,70,72,"TAKE OVER Rumah di Padasuka Bandung Timur dekat Surapati Core,Suci,Saung Udjo",https://www.lamudi.co.id/take-over-rumah-di-padasuka-bandung-timur-dekat-surapati-core-suci-saung-udjo.html,Tasikmalaya,108.22519832281,-7.5592216330173
HO632D2EE71146DID,house,139200000,2,1,1,48,100,Rumah Kayu Meranti Knockdown Dengan Berbagai Jenis Dan Desain Klasik,https://www.lamudi.co.id/rumah-kayu-meranti-knockdown-dengan-berbagai-jenis-166390551121.html,Tasikmalaya,108.365488,-7.332944
HO63410CCAC9B25ID,house,162400000,2,1,1,56,100,Rumah Kayu Meranti Bongkar Pasang Dengan Berbagai Jenis Dan Desain,https://www.lamudi.co.id/rumah-kayu-meranti-bongkar-pasang-dengan-berbagai-166520749874.html,Tasikmalaya,108.0272646,-7.1824754
KO62DCE0BB70FF6ID,kos,1250000000,12,4,,72,216,Dijual Kos 12 pintu lengkap fasilitas Jalan Ciledug Garut Kota,https://www.lamudi.co.id/dijual-kos-12-pintu-lengkap-fasilitas-jalan-ciledu-165864261932.html,Tasikmalaya,108.003,-7.2003
HO61F101186A483ID,house,900000000,4,1,,120,500,DIJUAL CEPAT RUMAH dan KIOS PINGGIR JALAN ALTERNATIF KAB - KOTA TASIKMALAYA,https://www.lamudi.co.id/dijual-cepat-rumah-dan-kios-pinggir-jalan-alternatif-kab-kota-tasikmalaya.html,Tasikmalaya,107.95882,-7.49261
LA619775F5C3D6EID,land,1130000000,,,0,,1319,Dijual tanah sawah produktif,https://www.lamudi.co.id/dijual-tanah-sawah-produktif-2.html,Tasikmalaya,108.385238,-7.348771
HO637F449F85235ID,house,355000000,2,1,1,36,60,Rumah Di Jual 300 Jutaan di Kota Banjar Kpr Syariah Tanpa Bank ,https://www.lamudi.co.id/rumah-di-jual-300-jutaan-di-kota-banjar-kpr-syaria-166928502354.html,Banjar,108.53428,-7.38402
HO63819BF8B7C51ID,house,355000000,2,1,,36,60,Rumah Mewah 300 Jutaan di Kota Banjar Kpr Syariah Tanpa Bank ,https://www.lamudi.co.id/rumah-mewah-300-jutaan-di-kota-banjar-kpr-syariah-166943845694.html,Banjar,108.5945433,-7.411008
HO6380ACFAC341AID,house,355000000,2,1,1,36,60,Rumah di Banjar 300 Jutaan Kpr Syariah Tanpa Bank ,https://www.lamudi.co.id/rumah-di-banjar-300-jutaan-kpr-syariah-tanpa-bank-166937727447.html,Banjar,108.777917,-7.670001
HO633299232D2AEID,house,350000000,3,2,1,80,60,DIJUAL RUMAH SYARI'AH DI BANJAR,https://www.lamudi.co.id/rumah-syari-ah-di-banjar-166426038759.html,Banjar,108.5394,-7.3859
HO61F719414ED9DID,house,900000000,3,3,5,75,84, untuk anda !!!Hunian masa depan dengan konsep healthy and modern living,https://www.lamudi.co.id/untuk-anda-hunian-masa-depan-dengan-konsep-healthy-and-modern-living.html,Banjar,108.533302,-7.3667
HO6355FE5840F63ID,house,299000000,2,1,1,36,78,Rumah Strategis Dekat Yonif Banjar Patroman Skema KPRSyariah,https://www.lamudi.co.id/rumah-strategis-dekat-yonif-banjar-patroman-skema-166658005623.html,Banjar,108.54184,-7.35752
HO6242F22297A02ID,house,150050000,2,1,,30,60,RUMAH SUBSIDI RASA REAL ESTATE DI BANJARAN BANDUNG SELATAN,https://www.lamudi.co.id/rumah-subsidi-rasa-real-estate-di-banjaran-bandung-selatan-2.html,Banjar,108.5329,-7.3688
HO637AA53F45565ID,house,409000000,2,1,,45,106,Jual Rumah Murah di Kota Banjar Skema Syariah TanpaBank,https://www.lamudi.co.id/jual-rumah-murah-di-kota-banjar-skema-syariah-tanp-166898207955.html,Banjar,108.57237,-7.369702
HO63218A386A1F6ID,house,208800000,2,1,1,72,100,Jual Rumah Kayu Knockdown Bergaya Klasik Harga Murah FREE ongkir,https://www.lamudi.co.id/jual-rumah-kayu-knockdown-bergaya-klasik-harga-mur-166314245617.html,Banjar,108.585,-7.393
HO63670887B60C4ID,house,299000000,2,1,1,36,78,Hunian Modern Islami di Kota Banjar,https://www.lamudi.co.id/hunian-modern-islami-di-kota-banjar-166769677529.html,Banjar,108.53592348776,-7.3679452329236
LA6143D8C236967ID,land,750000000,,,,,1000,Tanah 1000m2 untuk investasi di kota Banjar,https://www.lamudi.co.id/tanah-1000m2-untuk-investasi-di-kota-banjar.html,Banjar,108.5682,-7.3652
HO63218939DAE01ID,house,162400000,2,1,1,56,100,Jual Rumah KAyu Minimalis Knockdown Dengan Berbagai Jenis & Desain,https://www.lamudi.co.id/jual-rumah-kayu-minimalis-knockdown-dengan-berbaga-166314220194.html,Banjar,108.4852,-7.3665
HO636709BD2A088ID,house,299000000,2,1,1,36,78,Villa Premium di Kota Banjar dekat Raider ,https://www.lamudi.co.id/villa-premium-di-kota-banjar-dekat-raider-166769708531.html,Banjar,108.53959625136,-7.3737118881339
HO6357ED316854EID,house,925000000,4,2,,150,560,TERMURAH Rumah Paviliun Di Pangandaran DKT Pantai Timur Kota Banjar,https://www.lamudi.co.id/termurah-rumah-paviliun-di-pangandaran-dkt-pantai-166670673752.html,Banjar,108.65778,-7.69874
HO634E2EFC824E9ID,house,139200000,2,1,1,48,100,Rumah Kayu Meranti Bongkar Pasang Dengan Berbagai Jenis Dan Desain,https://www.lamudi.co.id/rumah-kayu-meranti-bongkar-pasang-dengan-berbagai-166606822046.html,Banjar,108.621076,-7.364923
HO636DAF17AE76CID,house,339000000,2,1,1,45,78,Rumah Islami patroman banjar,https://www.lamudi.co.id/rumah-islami-patroman-banjar-166813263123.html,Banjar,108.54028144183,-7.3719779255114
HO61A5FE53248A6ID,house,750000000,3,2,0,400,586,"Di Jual Rumah dan Ruko Di Ciamis Cisaga, mekarmukti Jawa Barat.",https://www.lamudi.co.id/di-jual-rumah-dan-ruko-di-ciamis-cisaga-mekarmukti-jawa-barat.html,Banjar,108.5163,-7.3461
HO632D17EF1F0F7ID,house,121800000,2,1,1,42,100,Rumah Kayu Bongkar Pasang Dengan Berbagai Jenis Dan Desain Menarik,https://www.lamudi.co.id/rumah-kayu-bongkar-pasang-dengan-berbagai-jenis-da-166389963133.html,Banjar,108.4887,-7.4059
LA6287AE2BE80DAID,land,525000000,,,,,2209,Jual Murah Tanah di Cimaragas Ciamis,https://www.lamudi.co.id/jual-murah-tanah-di-cimaragas-ciamis.html,Banjar,108.48284201075,-7.3844321307062
CO635F303954F43ID,commercial-1,25000000000,,,,444,386,"Office Stand Alone building at SCBD area, Below Market Price, LT 386 Sqm,LB 444",https://www.lamudi.co.id/office-stand-alone-building-at-scbd-area-below-mar-166718264957.html,Banjar,108.7061,-7.4889
LA61D41E76CA1B8ID,land,21850000000,,,0,,230000,Di JUAL murah tanah di jalan raya panjalu Kawali,https://www.lamudi.co.id/di-jual-murah-tanah-di-jalan-raya-panjalu-kawali.html,Banjar,108.4586147,-7.3948882
HO61A87E09AD3D8ID,house,600000000,4,1,,152,1448,Dijual Rumah di Ciamis,https://www.lamudi.co.id/dijual-rumah-di-ciamis.html,Banjar,108.4629,-7.372
LA611F6D27B1C3AID,land,21000000000,,,0,,160000,"Tanah Kebun Jati,Batu Posfat,Batu Kapur Di Banjarsari Pangandaran",https://www.lamudi.co.id/tanah-kebun-jati-batu-posfat-batu-kapur-di-banjarsari-pangandaran.html,Banjar,108.6956,-7.5499
